CED_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
CED402,1478,415,532,470,757,297,117,265,7475,24,0,5,0,0,0,4,0,10,202,245,10979,2191,2135,526,625,588,909,365,147,997,19458
CED403,4376,1403,1532,1687,2217,897,125,411,23874,25,5,5,0,0,0,0,6,0,29,69,20970,7116,6142,1713,1854,2120,2687,1174,216,916,44913
CED404,1055,237,297,347,377,222,69,146,5225,28,0,0,0,0,0,0,0,0,91,122,12301,1738,1610,344,407,478,497,281,104,775,18527
CED405,4038,1175,1316,1502,1665,699,129,565,27519,28,7,0,3,0,0,5,6,0,40,91,23983,6309,5632,1464,1574,1802,1998,896,179,1037,44877
CED406,1826,399,341,288,365,190,32,156,10395,29,5,0,0,0,0,0,0,0,50,90,22464,6577,4084,682,582,548,663,319,76,779,36774
CED407,6024,1420,1267,1668,1887,760,151,474,30402,36,9,7,3,4,0,4,0,0,195,252,26436,8990,7053,1566,1398,1850,2061,874,180,1165,51583
CED408,770,195,172,172,255,103,26,115,4922,41,5,0,5,0,0,0,0,0,19,68,20422,3896,2305,405,349,337,439,225,82,882,29347
CED409,6108,1420,1104,1287,1607,537,162,587,26060,46,6,6,0,0,5,3,4,0,52,129,23496,7245,6908,1515,1252,1390,1714,602,203,1300,45621
CED410,7872,2118,2402,2879,3335,1345,219,660,43171,32,3,9,0,0,0,5,0,0,34,81,27895,10475,9334,2449,2740,3314,3759,1583,293,1155,62988
CED497,3,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,4,0,0,0,0,0,17
CED501,4293,674,571,540,632,273,112,260,16079,33,13,10,0,0,0,0,0,0,237,302,25658,13017,10976,1204,1024,979,1049,490,230,1223,55857
CED502,11875,1868,1509,1652,2134,739,214,632,43031,36,14,15,9,4,0,3,0,0,63,139,27626,18124,15101,2233,1814,1956,2435,877,287,1331,71788
CED503,2260,300,246,322,371,157,61,179,8733,26,8,7,0,0,0,0,0,0,158,190,22522,7687,5839,630,491,580,651,295,140,1102,39931
