UCL_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
UCL315018,279,1066,7,23,3,3,7,25,29,52,0,0,0,0,0,0,0,0,29,52,0,0,0,0,0,0,0,0,0,0,0,0,320,1142,12,..,329,1142
UCL315019,493,1087,9,12,0,0,9,12,60,87,0,0,0,0,0,0,0,0,60,87,89,93,0,0,0,0,3,8,87,96,91,143,749,1423,66,..,819,1423
UCL315020,716,1748,43,56,75,146,116,204,18,24,0,0,0,0,0,0,0,0,18,24,80,143,4,11,0,0,0,0,81,150,26,40,956,2162,274,..,1229,2162
UCL315021,510,1175,32,37,0,0,32,37,7,12,0,0,0,0,0,0,0,0,7,12,0,0,0,3,0,0,4,5,6,3,0,0,559,1228,44,..,599,1228
UCL315022,772,2095,26,28,4,3,29,37,128,200,0,0,0,0,0,0,0,0,128,200,193,395,56,85,0,3,3,9,258,497,8,21,1200,2855,206,..,1400,2855
UCL315023,548,1183,34,36,14,15,45,54,25,31,0,0,0,0,0,0,0,0,25,31,3,4,0,0,0,0,0,4,4,8,3,7,630,1284,314,..,948,1284
UCL315024,631,1551,74,118,19,30,95,151,6,17,0,0,0,0,0,0,0,10,11,24,163,332,17,29,64,138,9,11,248,519,44,82,1034,2322,129,..,1160,2322
UCL315025,1265,2712,0,6,3,10,9,14,4,17,0,0,0,0,0,0,0,0,4,17,0,0,0,4,40,78,0,0,39,78,5,11,1326,2829,156,..,1483,2829
UCL315026,1175,3007,14,28,22,40,31,69,193,275,0,0,0,0,0,0,5,3,193,283,0,10,0,0,0,5,0,0,9,13,0,0,1408,3371,68,..,1479,3371
UCL315027,742,1574,39,46,0,0,39,46,9,17,0,0,0,0,0,0,0,0,9,17,17,33,3,8,0,0,8,9,36,50,8,13,824,1700,50,..,871,1700
UCL315028,455,1297,4,8,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,1303,25,..,482,1303
UCL315029,738,2116,3,5,0,0,3,5,0,0,0,0,0,0,0,0,6,10,6,10,22,43,0,0,0,0,0,4,28,49,5,9,778,2192,37,..,817,2192
UCL315030,282,1288,5,6,4,8,3,12,21,65,0,0,0,0,0,0,0,0,21,65,0,0,0,0,0,0,0,0,0,0,3,5,312,1373,56,..,360,1373
UCL315031,883,2188,33,42,38,54,62,97,27,35,0,0,0,0,0,0,0,0,30,37,6,4,0,0,0,0,0,0,11,8,9,8,993,2342,525,..,1518,2342
