UCL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL321077,11,82,86,47,44,87,31,9,35,15,4,17,3,3,7,5,8,14,102,151,246
UCL321078,10,35,47,71,28,101,38,0,44,24,4,23,6,3,9,8,0,8,161,73,228
UCL321079,13,119,136,79,84,167,62,16,76,44,8,50,36,4,42,43,3,44,273,242,519
UCL321080,11,76,88,203,18,224,98,5,107,114,3,116,34,5,40,23,0,28,492,109,599
UCL321081,0,21,27,62,9,64,33,3,35,22,0,22,11,0,15,14,0,14,147,31,179
UCL321082,6,29,37,86,7,92,29,4,35,36,0,38,13,0,13,5,0,5,181,44,223
UCL321083,7,109,118,186,28,207,89,7,103,84,4,86,29,3,29,29,0,29,423,151,574
UCL321084,5,128,130,122,85,210,26,20,50,28,14,49,10,3,10,3,3,7,196,253,458
UCL321085,8,73,84,160,37,197,14,0,13,4,0,3,0,0,0,4,4,5,188,121,314
UCL321086,0,42,42,46,5,59,23,0,23,16,0,18,20,3,24,23,0,29,128,53,182
UCL321087,0,35,36,101,4,104,24,4,28,39,0,44,11,0,11,8,0,8,177,45,224
UCL321088,7,137,139,113,47,166,29,10,37,17,0,18,12,0,14,18,0,17,195,196,389
UCL321089,6,130,139,76,77,153,18,10,21,8,6,6,4,0,10,3,0,0,113,223,335
UCL321090,5,76,77,107,11,113,43,4,44,67,0,67,13,0,13,4,0,5,237,86,323
UCL321091,3,161,167,67,91,152,12,8,29,10,9,22,5,3,11,3,0,7,103,275,381
UCL321092,7,86,90,103,49,149,11,7,20,19,3,21,10,0,10,0,0,3,141,150,291
UCL321093,7,30,38,95,6,103,40,0,46,38,0,40,14,0,14,3,0,3,203,41,249
UCL321094,7,51,57,102,7,108,40,0,48,27,0,32,11,0,11,4,0,4,200,61,254
UCL321095,19,109,129,165,102,259,33,4,38,41,7,44,19,3,18,11,5,11,273,222,499
UCL321096,7,128,136,89,30,117,31,3,38,24,0,28,19,0,19,6,0,9,179,165,345
UCL321097,8,35,46,107,12,117,52,0,51,56,3,54,28,0,25,24,0,24,266,47,320
UCL321098,5,15,19,48,4,51,27,0,23,24,0,24,16,0,17,14,0,14,135,21,154
UCL321099,10,123,127,76,27,103,31,11,45,19,9,23,12,0,10,7,0,8,158,163,324
UCL321100,10,85,97,64,14,82,21,0,25,22,0,27,7,0,7,6,0,6,138,101,242
UCL321101,6,135,143,103,20,125,33,0,33,13,4,17,10,0,11,11,0,11,178,163,338
UCL321102,3,28,30,86,5,87,40,3,46,46,0,46,23,0,23,17,0,17,213,34,242
UCL321103,8,86,100,129,15,146,70,3,72,45,0,50,28,3,26,18,0,18,297,113,409
UCL321104,7,74,83,62,25,76,33,8,40,35,8,39,21,0,21,18,0,18,167,114,284
UCL321105,16,73,90,212,23,242,69,4,71,72,4,77,33,6,40,20,3,20,426,116,539
UCL321106,12,164,171,167,41,211,50,7,51,54,4,56,31,0,35,15,4,20,320,226,542
UCL321107,3,97,101,134,27,159,27,3,32,20,3,24,9,6,9,5,0,5,199,134,330
UCL321108,0,64,70,63,14,71,33,3,33,20,0,22,9,5,16,11,0,15,136,86,224
UCL321109,9,182,198,106,112,223,37,12,53,32,7,36,5,3,9,3,5,7,199,327,519
UCL321110,7,77,85,138,26,163,46,4,54,34,3,33,26,0,28,8,4,11,262,113,370
UCL321111,9,115,117,116,47,164,36,4,45,32,9,41,19,6,21,4,4,10,218,181,399
UCL321112,0,79,79,44,8,50,55,0,54,35,0,37,26,0,30,42,3,43,198,90,297
UCL321113,6,87,90,67,43,110,32,0,36,25,0,27,13,3,15,11,0,11,151,139,291
