LGA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
LGA50280,174,1997,2632,848,429,6082,529,6612
LGA50350,404,2408,2427,712,348,6303,328,6632
LGA50420,1892,11288,10481,2790,1436,27886,1181,29068
LGA50490,1328,7255,5968,1635,749,16932,1062,17996
LGA50560,22,187,252,121,92,676,83,767
LGA50630,15,175,225,125,71,611,64,670
LGA50770,20,184,243,135,98,689,79,763
LGA50840,58,662,811,327,219,2070,147,2217
LGA50910,15,89,132,56,45,332,37,370
LGA50980,615,3493,2200,767,419,7491,1003,8495
LGA51080,13,100,99,89,68,369,52,421
LGA51120,11,103,130,42,43,328,60,393
LGA51190,877,5492,4881,1430,635,13311,914,14228
LGA51260,496,5376,6184,2102,1105,15263,875,16136
LGA51310,507,3475,4321,1344,732,10382,251,10634
LGA51330,1578,10982,13674,4600,2420,33248,1327,34578
LGA51400,134,1621,2623,1181,659,6220,278,6496
LGA51470,9,95,92,23,28,246,49,300
LGA51540,207,1490,834,223,140,2894,415,3306
LGA51610,8,112,223,107,78,521,72,594
LGA51680,23,318,731,464,406,1942,151,2092
LGA51710,37,189,131,62,24,440,59,499
LGA51750,250,1860,1670,429,191,4412,189,4603
LGA51820,1865,14251,18302,5903,3109,43428,1745,45173
LGA51860,7,38,38,20,24,131,36,168
LGA51890,166,1065,1227,555,357,3381,274,3653
LGA51960,63,404,402,184,99,1152,304,1456
LGA52030,12,146,169,76,49,452,72,519
LGA52100,12,129,144,62,51,397,31,427
LGA52170,108,1021,1256,428,220,3029,106,3138
LGA52240,8,124,141,92,54,413,52,468
LGA52310,3,100,117,69,74,361,39,397
LGA52380,8,42,25,10,5,94,71,161
LGA52450,19,124,170,91,52,457,31,492
LGA52520,14,119,184,75,53,442,83,519
LGA52590,31,451,532,222,136,1370,127,1496
LGA52660,135,1619,2209,878,476,5315,264,5578
LGA52730,61,918,977,344,147,2449,294,2745
LGA52800,620,1068,478,158,88,2408,635,3043
LGA52870,39,676,890,433,282,2325,150,2470
LGA52940,8,97,109,50,29,292,30,322
