LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA18450,2724,2233,1953,1830,1886,1668,1185,877,539,14898,37638,28337,28270,26715,26775,25912,20727,13294,5798,213468
LGA18500,448,380,532,454,397,343,308,288,251,3404,7691,5255,8160,7044,6796,5984,5388,3809,1673,51793
LGA18710,267,184,150,171,239,184,134,83,32,1448,3415,1937,1660,2173,2744,2272,1857,919,334,17313
LGA19399,25,7,18,11,8,20,28,13,4,131,206,77,141,155,161,211,192,58,18,1225
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
LGA20110,162,178,124,123,152,183,147,87,43,1205,2128,1281,1314,1566,1793,2135,1929,1034,382,13556
LGA20260,154,141,289,278,274,230,191,104,39,1701,1809,1130,1457,1318,1521,1740,1596,901,366,11839
LGA20570,1851,1258,1171,987,1113,878,732,483,283,8752,21312,14276,15540,14077,13822,13075,11540,6613,2863,113111
LGA20660,1209,872,996,994,952,818,678,471,290,7274,22340,13854,16312,18133,16874,14719,12487,7666,3470,125852
LGA20740,583,304,324,420,418,505,525,319,152,3554,6218,3360,3627,4267,4855,6498,6821,3507,1210,40367
LGA20830,1033,511,556,553,562,517,439,301,132,4605,10916,6073,7096,6539,6847,7353,6706,3770,1330,56635
LGA20910,1028,669,428,632,932,734,583,378,244,5629,17540,12015,7856,11716,16027,13705,10659,6737,3373,99625
LGA21010,298,151,158,167,198,213,190,145,65,1571,2066,1342,1393,1367,1721,2341,2276,1345,555,14409
LGA21110,1213,1179,1076,960,1202,969,685,498,320,8115,26624,23886,20842,20252,23529,20303,15493,9629,4930,165491
