LGA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA22490,113,1430,1542,2673,258,2933,1281,77,1355,1592,64,1660,767,33,801,367,16,376,6801,1878,8673
LGA22620,641,13904,14552,14702,2227,16930,6412,660,7076,5975,351,6330,2680,171,2855,1260,73,1330,31673,17386,49063
LGA22670,392,11988,12380,12372,2252,14627,9034,1093,10133,8228,693,8918,4133,385,4519,3466,205,3676,37633,16617,54254
LGA22750,1369,29506,30875,32700,4839,37544,14709,1537,16248,14282,899,15184,5653,354,6010,2228,179,2405,70933,37317,108252
LGA22830,280,7490,7769,7568,1236,8807,3465,406,3866,3284,249,3537,1588,124,1718,920,73,995,17106,9593,26699
LGA22910,117,2346,2461,2532,511,3039,763,86,848,626,50,682,263,37,300,122,13,131,4425,3038,7469
LGA22980,24,831,863,842,125,962,261,19,288,202,13,215,111,13,126,49,0,50,1499,1004,2498
LGA23110,436,9357,9798,10282,1437,11716,5627,390,6014,5595,271,5864,1871,109,1977,732,49,778,24545,11605,36149
LGA23190,94,2727,2827,2643,390,3041,1115,91,1208,935,59,988,453,24,477,149,10,162,5394,3303,8694
LGA23270,598,13421,14016,18237,2519,20758,13935,980,14915,15253,810,16067,7573,443,8015,5411,233,5644,61006,18404,79413
LGA23350,107,1799,1913,2459,324,2785,854,63,919,826,38,862,389,22,412,136,7,140,4774,2259,7038
LGA23430,678,16646,17325,17869,2155,20023,9757,613,10367,10190,391,10576,3303,122,3421,1061,53,1114,42855,19973,62830
LGA23670,601,12290,12888,17026,1913,18940,10287,483,10767,10576,296,10871,3799,122,3920,1557,46,1598,43837,15141,58979
LGA23810,428,10329,10757,9719,1586,11304,4001,403,4403,3573,253,3831,1516,121,1636,682,65,744,19915,12751,32665
LGA23940,28,1152,1180,1097,233,1333,317,54,366,272,23,299,152,15,168,85,6,94,1946,1491,3435
LGA24130,258,3696,3951,6042,698,6735,2744,187,2931,3265,125,3387,1347,76,1420,497,35,534,14147,4815,18960
