LGA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
LGA44060,39,1695,772,330,2038,0.8,1553,2.4
LGA44210,54,1083,509,210,1253,0.7,926,2.1
LGA44340,42,1976,880,335,2518,0.8,1989,2.6
LGA44550,39,1602,822,350,2114,0.8,1748,2.6
LGA44620,40,1127,707,220,1684,0.7,1236,2.3
LGA44830,56,918,611,189,1406,0.7,1137,2.2
LGA45040,43,1127,600,240,1398,0.7,1107,2.3
LGA45090,41,1083,788,220,1797,0.8,1427,2.4
LGA45120,49,804,637,200,1506,0.7,1146,2.2
LGA45290,40,2000,871,340,2338,0.8,1661,2.2
LGA45340,41,1447,707,312,1778,0.7,1408,2.4
LGA45400,52,650,622,156,1437,0.7,1111,2.2
LGA45540,55,585,461,160,992,0.6,735,1.9
LGA45680,33,1300,628,265,1488,0.8,1260,2.6
LGA45890,37,1600,714,300,1878,0.8,1463,2.4
LGA46090,39,1153,698,200,1653,0.7,1280,2.3
LGA46300,41,1300,720,240,1667,0.7,1245,2.3
LGA46450,44,953,570,185,1459,0.7,1064,2.2
LGA46510,37,1949,958,332,2488,0.9,2002,2.5
LGA46670,44,1083,673,200,1538,0.8,1228,2.3
LGA46860,52,1200,749,250,1694,0.7,1293,2.2
LGA46970,35,1517,1972,258,3467,0.8,3106,2.7
LGA47140,36,1300,640,300,1586,0.8,1354,2.6
LGA47290,45,672,786,155,1740,0.7,1316,2.2
LGA47490,50,1083,634,250,1433,0.8,1112,2.3
LGA47630,41,867,826,200,1829,0.7,1468,2.4
LGA47700,41,1517,776,330,2023,0.8,1632,2.5
LGA47800,48,873,609,190,1370,0.7,1087,2.2
LGA47910,52,1131,654,210,1554,0.7,1142,2.2
LGA47980,42,2167,975,350,2697,0.8,1995,2.3
LGA48050,59,1300,547,290,1255,0.7,984,2.1
LGA48130,44,919,628,220,1463,0.7,1141,2.4
LGA48260,44,2167,984,380,2762,0.8,2052,2.3
LGA48340,48,953,637,180,1550,0.7,1178,2.3
LGA48410,38,1733,794,310,2112,0.8,1584,2.3
LGA48540,41,1083,658,180,1676,0.7,1209,2.2
LGA48640,45,760,846,150,1895,0.7,1388,2.4
LGA48750,56,1300,568,278,1353,0.7,1061,2.2
LGA48830,57,1000,557,200,1318,0.7,984,2.1
LGA49399,47,715,1199,95,1417,0.8,1311,2.1
LGA49799,42,0,1828,0,0,0,0,0
LGA50080,44,1517,707,300,1757,0.7,1347,2.4
LGA50210,34,1750,801,305,2061,0.8,1768,2.8
LGA50250,40,1559,2036,51,3310,0.9,2378,2.7
LGA50280,42,1733,780,355,1871,0.8,1532,2.5
LGA50350,39,1801,855,330,2278,0.7,1735,2.4
LGA50420,38,1876,854,340,2228,0.8,1735,2.3
LGA50490,36,1733,880,350,2086,0.8,1641,2.3
LGA50560,55,1159,550,200,1406,0.7,1057,2.2
LGA50630,43,1647,1271,280,2131,0.7,1760,2.5
LGA50770,47,1212,704,220,1581,0.7,1262,2.3
LGA50840,50,1408,633,280,1632,0.7,1220,2.3
LGA50910,50,1300,629,200,1616,0.8,1304,2.3
LGA50980,41,2167,985,300,2428,1,1881,2.7
LGA51080,41,780,801,168,1836,0.7,1370,2.5
LGA51120,45,748,816,160,1762,0.8,1282,2.4
LGA51190,42,1480,727,300,1760,0.7,1325,2.2
LGA51260,44,1758,747,370,1866,0.7,1465,2.5
LGA51310,41,3000,1206,450,3898,0.8,2953,2.7
LGA51330,36,1827,758,355,2130,0.8,1833,2.8
LGA51400,38,1733,820,350,2206,0.7,1944,2.8
LGA51470,49,867,778,150,1766,0.7,1276,2
LGA51540,50,1306,733,240,1909,0.9,1343,2.3
LGA51610,45,2000,891,250,2286,0.8,1995,2.7
LGA51680,44,2100,776,320,2258,0.8,2033,2.8
LGA51710,39,1300,1322,150,2659,1,2073,2.5
LGA51750,43,3000,1127,488,3388,0.8,2247,2.3
LGA51820,36,1950,903,370,2344,0.8,1987,2.6
LGA51860,45,1528,829,231,1678,1.1,2449,3.8
LGA51890,44,1300,600,250,1618,0.7,1229,2.3
LGA51960,39,972,1237,200,2303,0.8,1884,2.3
LGA52030,57,1197,618,210,1392,0.7,1112,2.1
LGA52100,47,867,858,180,2007,0.7,1408,2.3
LGA52170,44,3813,1429,550,4597,0.8,3277,2.5
LGA52240,46,1083,766,165,1762,0.7,1292,2.3
LGA52310,50,1114,666,200,1466,0.7,1232,2.3
LGA52380,50,725,1712,120,1333,0.6,725,1.5
LGA52450,34,1200,651,200,1971,0.7,1506,2.5
LGA52520,40,1083,1030,231,2198,0.7,1806,2.6
LGA52590,50,1538,758,310,1704,0.7,1325,2.2
LGA52660,39,1686,772,340,2089,0.7,1743,2.6
LGA52730,50,1517,628,300,1491,0.7,1117,2.3
LGA52800,36,1629,616,100,1032,1,1405,2.9
LGA52870,48,1560,654,290,1688,0.7,1333,2.4
LGA52940,45,687,797,150,1531,0.7,1205,2.3
LGA53010,45,515,836,150,1670,0.7,1286,2.3
LGA53080,50,614,955,150,1224,0.7,918,1.8
LGA53150,44,2600,1048,420,3178,0.8,2270,2.5
LGA53220,39,1083,2148,110,2828,1,2264,2.9
LGA53290,41,1560,798,270,2014,0.7,1509,2.4
LGA53360,48,2000,880,350,2252,0.9,1687,2.5
LGA53430,42,2167,954,375,2591,0.8,1872,2.2
LGA53570,49,1700,647,270,1626,0.7,1324,2.4
LGA53640,38,780,925,180,2034,0.7,1488,2.5
LGA53710,49,1000,728,200,1784,0.7,1208,2.2
LGA53780,36,1733,717,330,1930,0.8,1652,2.8
LGA53800,40,1517,757,260,2003,0.7,1516,2.4
LGA53920,35,1530,475,95,786,1.3,1254,3.3
LGA53990,39,1733,761,320,2067,0.7,1792,2.7
LGA54060,53,1530,632,260,1598,0.7,1195,2.2
LGA54130,42,1000,912,188,1798,0.8,1438,2.4
LGA54170,41,2080,892,400,2528,0.7,2156,2.7
LGA54200,40,1907,820,370,2215,0.7,1863,2.6
LGA54280,35,1600,1232,300,2825,0.8,2293,2.6
LGA54310,35,2000,1587,290,3462,0.9,2998,2.8
LGA54340,39,1055,717,200,1646,0.8,1355,2.5
LGA54410,52,867,600,160,1612,0.7,1055,2.2
LGA54480,40,230,1112,105,2187,0.7,1761,2.6
LGA54550,45,1083,911,200,2004,0.7,1428,2.3
LGA54620,45,808,1251,150,1875,0.7,1319,2.2
LGA54690,51,748,751,130,1524,0.7,1359,2.2
LGA54760,43,546,1065,170,2225,0.8,1828,2.5
LGA54830,33,1725,792,315,1996,0.8,1712,2.7
LGA54900,41,1000,1026,180,2100,0.7,1683,2.4
LGA54970,41,426,2189,80,988,0.9,1343,2.5
LGA55040,38,683,1949,121,2401,0.9,1875,2.5
LGA55110,44,1733,618,300,1651,0.7,1270,2.4
LGA55180,46,1300,692,238,1616,0.7,1212,2.3
LGA55250,41,650,1606,115,1292,0.9,1330,2.4
LGA55320,42,2200,896,400,2654,0.7,2091,2.6
LGA55390,42,397,2152,120,1208,1,1297,2.1
LGA55460,41,1083,769,213,1869,0.7,1394,2.3
LGA55530,54,729,850,200,1937,0.7,1583,2.4
LGA55600,44,1000,800,225,1906,0.7,1440,2.3
