LGA_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
LGA14650,10509,20771,15212,12789,12769,8364,6186,8771,1442,96808
LGA14700,4541,9391,1280,1335,2561,1333,257,547,351,21593
LGA14750,748,657,721,557,553,356,449,936,107,5084
LGA14850,2424,4172,2573,2791,2400,1855,1039,2537,314,20102
LGA14870,965,1170,1384,1169,1079,635,937,955,154,8451
LGA14900,10002,18499,10838,9595,14146,7395,9432,8125,2005,90030
LGA14920,615,380,345,324,295,192,395,420,61,3031
LGA14950,373,164,194,158,129,87,118,143,32,1393
LGA15050,4508,7341,6957,5776,5391,3967,4023,4458,689,43109
LGA15240,4315,5864,4938,5172,3663,3508,2081,4297,713,34544
LGA15270,1627,1637,2063,1269,1125,906,1496,1310,203,11624
LGA15300,1010,800,610,557,623,374,579,675,117,5348
LGA15350,3415,5774,594,825,1529,1003,141,289,322,13888
LGA15520,1230,814,763,607,615,421,353,703,113,5616
LGA15560,477,154,185,136,181,65,174,223,33,1629
LGA15650,701,789,1466,754,691,581,1380,1056,149,7563
LGA15700,946,1178,984,1164,745,618,416,921,148,7124
LGA15750,1004,824,846,595,599,447,950,717,99,6075
LGA15800,450,292,307,281,226,147,190,380,52,2311
LGA15850,561,342,332,318,245,163,278,327,56,2616
LGA15900,9689,24708,10322,11302,9973,6988,4227,6715,1198,85131
LGA15950,9174,18304,2034,2194,4732,2303,377,780,611,40495
LGA15990,28137,41212,14647,11898,16286,10959,3829,6324,2000,135285
LGA16100,454,343,365,238,240,150,331,314,77,2500
LGA16150,2316,4698,3035,2691,2556,1675,1445,2020,322,20761
LGA16200,991,965,910,718,688,501,709,673,106,6264
LGA16260,16762,42866,11065,10061,17360,8856,5917,7289,2453,122626
LGA16350,11538,17310,14117,11214,16615,8497,11347,9273,2020,101929
LGA16380,4176,7441,5033,5514,4396,3491,1728,3451,604,35831
LGA16400,3494,4836,5239,4323,3839,2829,2319,3380,609,30877
LGA16490,6189,7640,4637,3475,5631,2283,1660,2377,779,34663
LGA16550,12068,25333,6187,5603,8335,4619,1893,3081,1165,68286
LGA16610,1117,1096,1204,1292,975,792,752,1735,146,9122
LGA16700,10274,24223,5848,4942,9247,4900,1737,3033,1147,65343
LGA16900,3389,5664,5721,4854,4572,3242,2940,3466,578,34435
LGA16950,5415,7959,6991,6336,4657,4007,2094,4645,710,42822
LGA17000,1333,1515,2210,1631,1306,956,1966,1187,224,12331
LGA17040,2598,2426,1852,2071,1429,1095,1035,1574,269,14346
LGA17080,1130,868,947,752,611,435,701,1106,129,6685
LGA17100,2790,7648,2027,1952,2941,1838,1032,1945,536,22709
LGA17150,19892,30780,15193,11655,18224,9409,4036,5934,1723,116838
LGA17200,23616,52125,9279,10095,13451,7840,2549,5487,2265,126707
LGA17310,3649,5096,4005,3638,3279,2591,2003,4052,452,28760
LGA17350,551,398,370,325,280,201,189,345,49,2703
LGA17400,579,338,286,280,276,175,191,329,75,2521
LGA17420,18136,31331,9101,7119,14425,7701,2824,4235,1487,96356
LGA17550,4997,7952,6295,5739,4706,3841,2013,4492,779,40812
LGA17620,1057,856,1174,652,586,403,892,1168,123,6914
LGA17640,1106,587,518,407,450,229,232,417,91,4031
LGA17650,489,464,374,308,322,183,146,348,46,2679
LGA17750,4138,7053,5040,5288,3740,3070,1781,3398,596,34109
LGA17850,463,153,137,115,120,77,77,217,23,1377
LGA17900,434,255,167,300,177,98,144,219,35,1834
LGA17950,351,109,137,90,103,54,109,168,21,1152
LGA18020,884,481,368,392,281,207,253,530,74,3470
LGA18050,8275,15657,2519,2476,3597,2565,576,1145,751,37556
LGA18100,439,189,152,142,127,89,106,189,23,1459
LGA18200,656,454,454,351,355,227,257,461,76,3297
