POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA3272,23,12,18,18,22,20,25,10,3,155,283,137,163,154,179,244,232,138,67,1605
POA3273,0,3,0,0,0,5,0,0,0,13,13,23,12,3,21,31,15,10,0,132
POA3274,4,3,5,0,0,0,5,6,0,23,46,26,18,25,28,29,39,18,3,243
POA3275,16,10,5,5,12,0,3,0,3,51,102,75,56,56,73,55,36,7,3,471
POA3276,3,12,0,0,9,11,9,0,0,39,71,56,45,47,58,80,56,12,4,430
POA3277,27,15,20,6,17,28,27,11,0,162,359,190,202,206,245,260,212,83,26,1787
POA3278,11,4,3,7,5,3,6,0,0,41,69,25,48,37,62,42,32,18,7,338
POA3279,9,10,0,0,3,0,0,0,0,26,65,50,29,25,55,30,23,12,0,290
POA3280,584,391,336,414,373,303,249,205,173,3017,5736,3758,4368,3983,4123,4249,3686,2212,1099,33212
POA3281,24,10,3,15,20,12,9,3,0,105,435,205,153,256,295,244,175,67,14,1837
POA3282,33,31,17,14,16,22,20,15,4,177,503,245,269,278,317,361,296,152,43,2460
POA3283,17,17,14,13,16,9,15,8,0,108,264,156,128,154,204,235,187,56,8,1400
POA3284,59,17,30,25,36,36,57,32,20,316,673,286,295,433,432,542,680,359,158,3865
POA3285,11,25,4,8,21,20,3,12,0,105,227,126,87,152,188,199,182,69,5,1238
POA3286,13,6,5,5,0,5,10,0,0,37,87,47,34,59,61,96,96,36,12,523
POA3287,0,7,0,0,5,7,0,4,0,23,76,54,44,41,72,71,23,19,4,411
POA3289,14,10,0,7,8,16,13,4,0,61,138,72,54,81,100,143,125,48,30,798
POA3292,4,0,0,5,0,0,6,4,0,23,7,3,11,14,25,47,55,17,0,180
POA3293,6,0,0,0,3,3,0,3,0,26,54,30,29,41,49,55,53,16,3,331
POA3294,14,8,11,12,9,4,20,11,8,85,175,71,103,114,117,136,171,69,20,968
POA3300,152,96,97,80,77,83,78,76,51,794,1766,1202,1183,1060,1186,1376,1303,905,416,10390
POA3301,24,5,10,9,20,19,16,4,0,106,233,124,112,107,194,211,204,61,6,1258
POA3302,12,0,5,8,0,4,4,0,0,30,55,32,42,41,56,58,45,26,4,362
POA3303,6,4,7,3,0,4,4,3,5,35,41,27,34,33,51,40,29,14,7,280
POA3304,52,38,29,32,46,34,53,18,21,325,466,231,263,288,341,462,437,187,73,2742
POA3305,218,130,113,151,160,155,136,74,24,1155,2071,1376,1294,1413,1816,2113,1828,890,369,13178
POA3309,0,0,0,0,0,0,4,3,0,7,23,10,3,11,20,14,20,14,0,125
POA3310,4,0,0,3,0,5,4,3,0,24,20,20,16,26,31,62,47,30,3,258
POA3311,13,12,10,9,12,30,31,24,11,150,186,148,139,112,177,317,293,229,104,1706
POA3312,13,13,5,9,15,18,17,7,3,99,186,79,90,94,147,168,156,72,8,1011
POA3314,14,3,3,7,3,7,7,3,0,55,112,45,51,72,70,83,90,29,10,569
POA3315,37,19,11,19,25,17,27,13,3,172,247,153,127,169,202,300,263,131,81,1667
POA3317,4,4,3,3,4,0,0,4,5,21,29,18,15,13,35,31,22,15,7,184
POA3318,13,16,0,7,16,11,31,9,8,111,191,85,118,118,152,195,211,107,65,1240
POA3319,11,11,5,3,18,15,3,5,0,69,56,26,33,32,55,94,63,29,10,404
POA3321,36,6,7,9,18,20,9,7,0,120,429,181,152,264,271,249,149,53,7,1764
POA3322,0,0,0,0,5,0,0,3,0,10,27,12,15,18,19,34,31,22,5,178
POA3323,0,0,0,0,3,0,0,0,0,10,12,10,10,5,12,15,12,5,6,90
POA3324,6,3,9,6,5,15,9,3,0,63,88,58,52,71,47,109,98,43,16,576
