POA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA2148,30,89,229,196,175,131,32,3,0,885,37,218,546,494,332,192,57,3,3,1890,1066,3099,7870,7495,5020,3623,886,53,9,29118
POA2150,0,36,127,85,34,36,9,0,0,331,11,109,439,266,92,64,8,3,0,997,202,1871,7985,5401,1664,1048,241,26,0,18435
POA2151,4,21,64,74,90,50,11,0,0,315,8,37,111,131,64,55,13,3,0,422,288,750,2184,2710,2070,1400,363,47,0,9811
POA2152,3,9,30,38,41,25,7,0,0,163,8,8,43,66,46,21,9,0,0,209,231,382,1148,1439,1149,703,187,26,0,5272
POA2153,38,96,150,186,213,139,65,9,0,893,27,97,225,394,294,176,50,9,0,1280,1363,2451,4997,8574,6940,4481,1377,146,16,30349
POA2154,26,51,72,125,109,99,42,8,0,526,26,59,130,223,215,123,46,13,0,843,908,1711,2772,4724,4687,3272,1107,157,8,19348
POA2155,77,139,228,277,326,131,45,6,0,1226,50,133,332,553,410,212,54,7,0,1757,2222,3599,6832,11576,9433,4611,1123,85,3,39484
POA2156,19,45,27,40,66,58,27,6,0,296,12,20,45,54,82,52,34,7,0,305,477,704,742,1089,1640,1249,502,102,0,6498
POA2157,9,11,19,8,25,11,9,0,0,89,7,13,16,24,29,16,6,0,0,109,152,201,284,390,493,386,141,11,3,2063
POA2158,7,14,34,27,44,39,13,0,0,175,8,18,30,26,52,34,14,7,0,194,242,405,584,697,1073,823,278,72,5,4190
POA2159,8,13,11,19,24,32,0,0,0,108,4,7,16,19,46,21,9,4,0,124,158,200,347,408,594,517,194,34,6,2462
POA2160,10,35,89,64,102,57,10,3,0,370,23,97,299,212,140,120,23,0,0,915,462,1485,3688,2968,2144,1669,374,34,4,12823
POA2161,13,26,68,79,70,60,24,0,0,340,29,85,238,162,131,89,22,0,0,769,420,1116,2807,1999,1552,1223,314,20,0,9453
POA2162,5,19,35,48,57,29,9,0,0,208,15,57,92,110,94,59,17,3,0,452,255,695,1387,1199,1271,1006,208,7,0,6036
POA2163,4,7,24,25,18,12,3,0,0,91,8,29,52,58,54,39,14,0,0,261,96,326,692,498,482,371,88,9,0,2555
POA2164,3,31,52,59,53,45,16,3,0,258,21,37,95,86,90,64,13,5,0,418,323,708,1497,1282,1310,1076,254,20,5,6468
POA2165,16,38,92,109,117,67,16,4,0,449,24,102,208,197,193,163,28,4,0,927,485,1350,2718,2306,2351,1801,373,23,8,11419
POA2166,16,64,163,163,167,96,12,0,0,678,45,162,347,318,398,290,52,6,0,1610,565,2076,4039,3252,3612,2789,485,35,0,16850
POA2167,6,3,15,24,17,13,5,0,0,75,4,22,62,77,54,24,5,0,0,250,143,377,1099,1348,887,644,125,5,0,4634
POA2168,15,43,112,104,108,82,12,0,0,462,32,118,194,230,220,196,27,3,0,1026,726,1755,2956,2670,2809,2405,420,20,0,13766
POA2170,57,116,349,336,279,201,46,6,0,1396,100,242,610,591,514,345,66,9,3,2481,1862,4273,9963,9706,8431,5771,1332,102,11,41455
POA2171,23,52,122,132,137,90,21,0,0,574,50,67,181,201,191,119,28,0,0,826,1053,1730,3247,4124,3794,2302,431,26,0,16716
POA2172,5,6,8,7,15,17,3,0,0,58,0,4,13,16,9,9,3,0,0,60,83,147,253,331,398,290,62,5,4,1583
POA2173,5,23,36,43,56,35,10,0,0,203,16,24,70,69,68,43,4,0,0,301,458,879,1803,1846,1698,1031,169,16,0,7884
POA2174,0,4,33,30,21,4,4,0,0,95,12,30,89,100,43,28,4,0,0,301,180,515,1620,1880,951,381,46,4,0,5580
POA2175,0,3,5,8,7,10,0,0,0,42,3,5,9,10,19,8,5,3,0,58,44,85,113,120,174,140,46,12,0,731
POA2176,11,70,142,123,148,106,38,3,0,659,46,99,209,211,203,188,50,5,0,1012,785,1905,3608,3013,3379,3159,865,52,8,16765
POA2177,14,24,50,51,73,39,10,0,0,248,11,45,99,70,101,59,11,0,0,394,233,677,1417,1121,1148,942,215,3,0,5759
POA2178,6,8,16,18,23,26,4,0,0,98,0,10,14,18,18,14,3,0,0,94,110,216,303,294,431,311,103,16,0,1786
POA2179,5,23,81,54,33,19,5,0,0,222,11,35,142,109,53,25,10,4,3,381,242,564,2530,2050,1040,588,135,17,5,7166
POA2190,17,25,61,80,86,67,18,0,0,353,22,59,121,119,102,69,23,0,0,510,461,936,1808,1787,1605,1219,281,32,0,8134
POA2191,11,10,19,26,28,26,3,0,0,124,0,8,19,29,26,20,8,8,0,108,133,218,512,556,616,424,83,10,0,2556
POA2192,3,17,42,40,44,41,3,0,0,195,4,33,86,71,69,39,10,0,0,317,149,520,1379,1137,1043,703,178,12,0,5130
POA2193,7,18,67,61,71,48,13,0,0,288,7,36,120,95,62,52,15,0,0,396,252,698,2312,2037,1665,1284,291,16,0,8550
POA2194,5,32,90,75,77,53,11,4,0,342,4,72,205,169,117,80,12,4,0,661,196,1181,3190,2291,1643,1176,240,22,0,9940
POA2195,7,19,61,49,45,34,11,0,0,233,5,32,203,148,92,61,19,0,0,573,225,755,2472,2024,1217,842,201,11,0,7753
