SAL_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL22033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,14
SAL22034,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,23,4,0,0,46
SAL22035,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,4,7,7,11,23,17,24,5,0,0,95
SAL22036,0,6,6,6,21,14,0,0,0,54,9,9,5,6,14,17,9,4,0,67,182,236,170,274,600,409,111,11,0,1998
SAL22037,9,16,25,34,45,40,14,0,0,191,8,19,33,53,69,45,18,8,0,249,418,531,1015,1358,1698,1140,346,31,0,6547
SAL22038,12,21,29,17,14,9,0,0,0,103,14,18,47,21,13,3,3,0,0,125,573,954,1290,581,336,234,114,24,0,4109
SAL22039,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,5,7,12,26,19,10,0,0,80
SAL22040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,8,0,0,0,26
SAL22041,8,35,89,77,62,39,12,0,0,322,10,31,118,122,59,32,12,0,0,385,305,752,2884,2527,1803,1152,219,18,0,9656
SAL22042,4,15,49,38,33,34,13,0,0,180,5,18,47,42,52,27,0,0,0,187,292,488,1108,1372,1314,876,173,15,6,5648
SAL22043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,13,8,7,0,0,44
SAL22044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,18
SAL22045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,10,16,17,5,0,0,61
SAL22046,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,5,7,7,17,17,17,9,0,0,70
SAL22047,7,14,33,33,38,29,16,3,0,169,10,15,34,34,66,45,10,0,0,223,221,286,580,769,1073,831,292,35,0,4099
SAL22048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,12,7,4,0,27
SAL22049,4,0,7,4,11,7,5,0,0,38,4,0,6,4,8,14,9,0,0,40,65,69,161,173,273,309,131,11,0,1197
SAL22050,8,8,27,11,23,21,0,0,0,98,3,7,13,24,21,17,9,0,0,97,142,184,374,366,454,379,108,7,0,2012
SAL22051,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,11,4,9,13,20,15,4,0,0,69
SAL22052,0,0,0,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,4,4,11,20,13,15,9,0,0,82
SAL22053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,26
SAL22054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,15
SAL22055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,11,13,11,11,0,0,54
