SAL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SAL14065,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SAL14066,0,9,9,5,3,7,5,0,9,4,0,4,0,0,0,0,0,0,18,13,32
SAL14067,0,12,12,7,5,19,7,0,6,8,0,10,6,0,7,0,0,0,25,26,54
SAL14068,0,20,23,40,4,46,11,0,12,8,0,8,9,0,9,3,0,3,78,20,102
SAL14069,10,373,378,393,50,441,135,6,142,111,0,110,54,0,52,37,0,34,736,426,1165
SAL14070,7,45,49,50,4,60,14,7,23,11,0,11,7,0,7,0,0,0,91,54,145
SAL14071,0,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,13
SAL14072,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,9,6,11
SAL14073,8,68,76,108,15,120,44,0,48,59,0,58,29,0,25,9,0,9,245,87,335
SAL14074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL14075,0,61,69,41,11,50,13,0,14,6,3,9,8,0,8,4,0,4,77,79,153
SAL14076,0,3,3,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7
SAL14077,0,4,5,19,8,29,6,4,8,7,0,7,0,0,0,0,0,0,39,7,43
SAL14078,0,13,13,25,0,30,20,0,18,8,0,8,4,0,4,4,0,4,56,13,69
SAL14079,30,472,495,473,186,658,150,11,163,126,21,144,50,3,58,20,0,22,845,694,1534
