SAL_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
SAL13395,51,1000,720,245,1687,0.8,1125,2.2
SAL13396,44,3064,1093,250,3050,0.8,2791,3.1
SAL13397,39,1300,724,50,2250,1.4,1125,2.6
SAL13398,64,0,462,0,1083,0.6,1031,2.1
SAL13399,47,1800,254,0,824,1.1,824,3
SAL13400,54,3467,410,0,900,0.9,933,2.5
SAL13401,60,1200,550,110,1125,0.9,1125,2.2
SAL13402,42,789,850,280,2249,0.9,1875,2.7
SAL13403,42,2080,665,380,1843,0.8,1678,2.8
SAL13404,61,195,612,0,1375,1.6,1125,2.2
SAL13405,49,1387,657,220,1847,0.7,1343,2.4
SAL13406,45,3350,1102,750,3568,0.9,2953,2.8
SAL13407,51,1950,659,300,1571,0.9,1292,2.7
SAL13408,61,1842,589,280,1375,0.9,1375,2.4
SAL13409,51,0,824,243,1874,0.7,1874,2.5
SAL13410,37,2167,744,420,2112,0.9,2000,3.2
SAL13411,31,2300,958,480,2317,0.9,2216,3.3
SAL13412,40,3250,1396,630,3510,0.9,2529,2.3
SAL13413,40,2000,1087,300,2333,0.7,2349,2.9
SAL13414,43,1625,612,310,2250,1,1874,2.6
SAL13415,49,2028,696,435,2017,0.9,1625,2.4
SAL13416,60,498,389,60,899,0.7,784,1.9
SAL13417,41,1387,525,210,1625,0.8,1124,2.3
SAL13418,60,1210,474,300,1291,0.8,1042,1.8
SAL13419,33,2600,1153,580,2722,1.1,2270,2.3
SAL13420,46,2140,1231,0,2849,0.7,2583,2.8
SAL13421,53,2000,816,340,1718,0.8,1656,2.4
SAL13422,32,1997,894,390,2011,1.2,1751,2.5
SAL13423,38,2281,665,410,1900,1,1680,3
SAL13424,34,1940,702,380,1841,0.9,1706,3
SAL13425,53,1517,687,275,2166,0.5,1625,2
SAL13426,40,3678,1199,600,3689,0.9,3198,2.9
SAL13427,44,4000,1190,925,4399,0.8,4026,3.1
SAL13428,51,1338,727,315,1775,0.7,1728,2.6
SAL13429,46,1400,630,200,1593,0.8,1312,2.6
SAL13430,57,1400,661,330,1562,0.7,1416,2.5
SAL13431,60,1083,550,300,1208,0.7,1208,2.1
SAL13432,61,0,949,7,2999,0.5,1749,1.5
SAL13433,32,2058,1062,450,2666,0.9,2600,3.2
SAL13434,40,1950,614,500,1838,0.9,1824,3.4
SAL13435,54,4000,1350,325,2333,0.7,2624,2.4
SAL13436,37,0,1125,200,2250,0.7,2166,2.9
SAL13437,45,2875,900,343,2321,0.7,1958,2.4
